BOTTLE,20091211PRINUNIVRMK
# 9/24/2002 
# Cruise dates: 6/27-12/14/1986 
# Chief scientists: E.Augstein, G.Hempel
# Ship and cruise designation: Polarstern; ANT v-2,3
# EXPOCODE: 06AQ19860627 
# 164 stations
# Hydro: Who - A. Gordon, E. Fahrbach; Status ; S Plus -  
# 	Notes: Data from L. Gordon 9/26/02 
# 	No temperature, only theta 
# Nuts/O2: Who - L. Gordon,  J. Jennings; Status - ; S Plus -  
# 	Notes: Data from L. Gordon 9/26/02 
# 	Units converted from ml/l and umol/l to umol/kg 
# TCO2: Who - Takahashi; Status - final; S Plus - up to date 
# 	Notes: Data from S. Sutherland 12/18/02 
# TA: Who - ; Status - ; S Plus - up to date 
# 	Notes: Calculated by R. Wanninkhof (1/24/03) 
# 	Taro's calculated values in file as Taroalk 
# 	QC by Key 1/27/03 
# 		263-1-18 hi vs S mark 3
# 		300-1-23 lo vs S mark 3
# 		312-1-22 hi vs S mark 3 
# 		338-1-1 hi mark 3 
# 		391-1-24 lo vs S makr 3 
# pCO2: Who - Takahashi; Status - final; S Plus - up to date 
# 	Notes: Data from S. Sutherland 12/18/02 
# pH25: Who - ; Status - ; S Plus -  
# 	Notes:  
# CFC: Who - R. Weiss; Status - final; S Plus - up to date 
# 	Notes:    
# C-14: Who -P. Schl_sser, W. Roether, H, Craig; Status - final; S Plus - up to date 
# 	Notes: LV samples 
# C-13: Who - ; Status - ; S Plus -  
# 	Notes:  
# H-3/He-3: Who -  P. Schl_sser, W. Roether, H, Craig, M. Rhein Status - final ; S Plus -  up to date 
# 	Notes:  
# Other: O-18 Schlosser, final, up to date 
EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,TRITUM,TRITER,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,NEON,NEON_FLAG_W,DELC14,C14ERR,DELC14_FLAG_W,DELO18,DELO18_FLAG_W,THETA
,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,PPM,,DEG C,TU,TU,,NMOL/KG,,PERCNT,,NMOL/KG,,O/OO,O/OO,,O/OO,,DEG C
  06AQ19860627,234,1,23,2,19860717,0,-58.483,-0.99,4769,8.8,-1.282,34.147,2,345.8,2,69.28,2,24.83,2,0.39,2,1.91,2,5.377,2,2.339,2,2172,2,702,2,15,-999,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-1.282
  06AQ19860627,234,1,24,2,19860717,0,-58.483,-0.99,4769,8.8,-999,34.145,2,345.8,0,69.38,2,24.94,2,0.38,2,1.91,2,5.377,2,2.339,2,2172,0,702,0,15,179,5,2,4.37,2,-1.32,2,1.924,2,-96,2,2,-999,9,-1.286
  06AQ19860627,234,3,24,2,19860717,0,-58.483,-0.99,4769,15.1,-999,34.138,2,347.5,2,68.98,2,27.03,2,0.38,2,1.92,2,5.466,2,2.384,2,2175.2,0,702,0,15,176,5,2,4.28,2,-1.63,2,1.903,2,-999,-999,9,-0.22,2,-1.276
  06AQ19860627,234,1,22,2,19860717,0,-58.483,-0.99,4769,20,-999,34.158,2,345.6,0,69.87,2,24.83,2,0.39,2,1.91,2,5.58,2,2.423,2,2177.7,0,702,0,15,-999,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-1.359
  06AQ19860627,234,1,21,2,19860717,0,-58.483,-0.99,4769,20.5,-1.357,34.158,2,345.4,2,70.07,2,24.83,2,0.39,2,1.91,2,5.58,2,2.423,2,2178,2,702,2,15,-999,-999,9,4.42,2,-1.46,2,1.925,2,-999,-999,9,-0.32,2,-1.357
  06AQ19860627,234,6,81,2,19860717,0,-58.483,-0.99,4769,25,-999,34.16,2,345.5,0,70.14,0,24.83,0,-999,9,1.91,0,-999,9,-999,9,2178,0,703,0,15,181,5,2,-999,9,-999,9,-999,9,-95,2,2,-999,9,-1.39
  06AQ19860627,234,1,20,2,19860717,0,-58.483,-0.99,4769,33.8,-1.413,34.17,2,345.8,2,70.27,2,24.83,2,0.39,2,1.9,2,5.464,2,2.462,2,2178,2,705,2,15,191,5,2,-999,9,-999,9,-999,9,-999,-999,9,-0.31,2,-1.413
  06AQ19860627,234,1,17,2,19860717,0,-58.483,-0.99,4769,53.6,-1.431,34.171,2,338.4,2,70.66,2,24.83,2,0.39,2,1.91,2,5.294,2,2.453,2,2176,2,702,2,15,187,5,2,4.17,2,-1.44,2,1.852,2,-999,-999,9,-0.36,2,-1.432
  06AQ19860627,234,1,16,2,19860717,0,-58.483,-0.99,4769,54.3,-999,34.17,2,338.6,0,70.66,2,24.83,2,0.39,2,1.9,2,5.294,2,2.453,2,2176.1,0,702.1,0,15,-999,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-1.433
  06AQ19860627,234,1,15,2,19860717,0,-58.483,-0.99,4769,72.8,-1.477,34.185,2,344.5,2,70.86,2,24.73,2,0.39,2,1.9,2,5.406,2,2.385,2,2179,2,704,2,15,195,5,2,-999,9,-999,9,-999,9,-999,-999,9,-0.29,2,-1.478
  06AQ19860627,234,6,82,2,19860717,0,-58.483,-0.99,4769,78,-999,34.189,2,344.6,0,70.79,0,24.68,0,-999,9,1.9,0,-999,9,-999,9,2179,0,703.5,0,15,-999,-999,9,-999,9,-999,9,-999,9,-94,2,2,-999,9,-1.447
  06AQ19860627,234,1,12,2,19860717,0,-58.483,-0.99,4769,93.5,-1.51,34.185,2,344.9,2,70.56,2,24.53,2,0.39,2,1.9,2,5.492,2,2.38,2,2179,2,702,2,15,185,5,2,4.19,2,-1.15,2,1.855,2,-999,-999,9,-0.33,2,-1.512
  06AQ19860627,234,1,10,2,19860717,0,-58.483,-0.99,4769,102.8,-999,34.186,2,346.2,0,71.06,2,28.53,2,0.38,2,1.9,2,5.395,2,2.331,2,2186.8,0,704.9,0,15,191,5,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-1.484
  06AQ19860627,234,1,11,2,19860717,0,-58.483,-0.99,4769,103.1,-1.481,34.187,2,346.2,2,71.06,2,29.03,2,0.38,2,1.9,2,5.395,2,2.331,2,2187,2,705,2,15,188,5,2,4.3,2,-1.57,2,1.875,2,-999,-999,9,-0.33,2,-1.483
  06AQ19860627,234,1,9,2,19860717,0,-58.483,-0.99,4769,144.2,-1.089,34.273,2,320.1,2,77.18,2,29.34,2,0.26,2,1.97,2,4.521,2,2.095,2,2191,2,748,2,15,164,5,2,4.49,2,0.12,2,1.933,2,-999,-999,9,-0.2,2,-1.092
  06AQ19860627,234,6,83,2,19860717,0,-58.483,-0.99,4769,149,-999,34.356,2,312,0,79.26,0,29.57,0,-999,9,2,0,-999,9,-999,9,2195.3,0,761.6,0,15,-999,-999,9,-999,9,-999,9,-999,9,-117,2,2,-999,9,-0.754
  06AQ19860627,234,1,7,2,19860717,0,-58.483,-0.99,4769,194.4,-999,34.57,2,235.7,0,98.9,2,31.67,2,0.02,2,2.22,2,-999,9,-999,9,2235.8,0,890.4,0,15,-999,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,0.007
  06AQ19860627,234,1,8,2,19860717,0,-58.483,-0.99,4769,194.6,-0.033,34.57,2,235.3,2,98.9,2,32.08,2,0.01,2,2.22,2,1.694,2,0.718,2,2236,2,891,2,15,86,5,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-0.04
  06AQ19860627,234,1,6,2,19860717,0,-58.483,-0.99,4769,294.4,0.634,34.668,2,208.4,2,107.29,2,31.67,2,0.02,2,2.24,2,0.581,2,0.242,2,2248,2,912,2,15,-999,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-0.03,2,0.621
  06AQ19860627,234,6,84,2,19860717,0,-58.483,-0.99,4769,302,-999,34.646,2,208.3,0,107.72,0,31.67,0,-999,9,2.24,0,-999,9,-999,9,2247.8,0,911.8,0,15,-999,-999,9,-999,9,-999,9,-999,9,-153,2,2,-999,9,0.318
  06AQ19860627,234,1,5,2,19860717,0,-58.483,-0.99,4769,397.3,0.592,34.684,2,207.9,2,113.12,2,31.66,2,0.03,2,2.25,2,0.364,2,0.145,2,2245,2,909,2,15,-999,-999,9,4.44,2,8.85,2,1.888,2,-999,-999,9,-0.04,2,0.574
  06AQ19860627,234,1,3,2,19860717,0,-58.483,-0.99,4769,494.5,0.441,34.681,2,210.5,2,116.18,2,31.86,2,0.03,2,2.26,2,-999,9,-999,9,2243,2,916,2,15,-999,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,0.419
  06AQ19860627,234,1,4,2,19860717,0,-58.483,-0.99,4769,494.9,-999,34.683,2,210.5,0,113.12,2,31.87,2,0.02,2,2.25,2,0.323,2,0.132,2,2243,0,916,0,15,-999,-999,9,4.08,2,7.81,2,1.7,2,-999,-999,9,-999,9,0.419
  06AQ19860627,234,6,85,2,19860717,0,-58.483,-0.99,4769,508,-999,34.68,2,210.5,0,113.75,0,31.9,0,-999,9,2.25,0,-999,9,-999,9,2243.7,0,917.2,0,15,-999,-999,9,-999,9,-999,9,-999,9,-159,2,2,-999,9,0.373
  06AQ19860627,234,1,1,2,19860717,0,-58.483,-0.99,4769,597.2,0.317,34.676,2,210.9,2,118.06,2,32.11,2,0.08,2,2.26,2,0.336,2,0.135,2,2248,2,925,2,15,43.5,5,2,4.53,2,7.61,2,1.913,2,-999,-999,9,-999,9,0.291
  06AQ19860627,234,3,23,2,19860717,0,-58.483,-0.99,4769,699.4,0.248,34.676,2,210.1,2,120.23,2,32.38,2,-0.01,2,2.28,2,0.267,2,0.108,2,2254.5,2,941,2,15,44,5,2,-999,9,-999,9,-999,9,-999,-999,9,-0.06,2,0.217
  06AQ19860627,234,6,86,2,19860717,0,-58.483,-0.99,4769,711,-999,34.675,2,210.4,0,120.32,0,32.39,0,-999,9,2.28,0,-999,9,-999,9,-999,9,-999,9,15,-999,-999,9,-999,9,-999,9,-999,9,-157,2,2,-999,9,0.209
  06AQ19860627,234,3,21,2,19860717,0,-58.483,-0.99,4769,802.3,-999,34.675,2,213.1,2,121.02,2,32.48,2,-0.01,2,2.27,2,0.257,2,0.098,2,-999,9,-999,9,15,42,5,2,-999,9,-999,9,-999,9,-999,-999,9,-0.17,2,0.17
  06AQ19860627,234,3,20,2,19860717,0,-58.483,-0.99,4769,1000.1,0.123,34.673,2,215.7,2,122.3,2,32.38,2,-0.01,2,2.26,2,0.235,2,0.101,2,2250.4,2,933,2,15,42,5,2,-999,9,-999,9,-999,9,-999,-999,9,-0.19,2,0.078
  06AQ19860627,234,6,87,2,19860717,0,-58.483,-0.99,4769,1015,-999,34.672,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,15,-999,-999,9,-999,9,-999,9,-999,9,-159,2,2,-999,9,0.032
  06AQ19860627,234,3,19,2,19860717,0,-58.483,-0.99,4769,1251.2,0.014,34.67,2,222.3,2,123.89,2,32.38,2,0,2,2.28,2,0.236,2,0.105,2,2250.3,2,921,2,15,34,5,2,4.69,2,6.78,2,1.955,2,-999,-999,9,-0.15,2,-0.045
  06AQ19860627,234,6,88,2,19860717,0,-58.483,-0.99,4769,1419,-999,34.667,2,224.3,0,124.15,0,32.38,0,-999,9,2.27,0,-999,9,-999,9,-999,9,-999,9,15,-999,-999,9,-999,9,-999,9,-999,9,-163,2,2,-999,9,-0.136
  06AQ19860627,234,3,18,2,19860717,0,-58.483,-0.99,4769,1498.8,-999,34.666,2,225.3,2,124.28,2,32.38,2,0,2,2.27,2,0.214,2,0.089,2,-999,9,-999,9,15,37,5,2,-999,9,-999,9,-999,9,-999,-999,9,-0.15,2,-0.129
  06AQ19860627,234,3,17,2,19860717,0,-58.483,-0.99,4769,1749.3,-0.127,34.664,2,230.1,2,124.48,2,32.18,2,0,2,2.27,2,0.211,2,0.089,2,2248.4,2,903,2,15,37.5,5,2,-999,9,-999,9,-999,9,-999,-999,9,-0.06,2,-0.214
  06AQ19860627,234,6,89,2,19860717,0,-58.483,-0.99,4769,1910,-999,34.663,2,233.1,0,124.35,0,32.18,0,-999,9,2.27,0,-999,9,-999,9,-999,9,-999,9,15,-999,-999,9,-999,9,-999,9,-999,9,-161,2,2,-999,9,-0.268
  06AQ19860627,234,3,16,2,19860717,0,-58.483,-0.99,4769,2000.5,-999,34.661,2,234.9,2,124.28,2,32.18,2,0,2,2.26,2,0.238,2,0.103,2,-999,9,-999,9,15,47,5,2,4.91,2,6.12,2,2.029,2,-999,-999,9,-0.18,2,-0.298
  06AQ19860627,234,3,15,2,19860717,0,-58.483,-0.99,4769,2249.7,-0.245,34.659,2,236.6,2,124.68,2,32.18,2,0,2,2.26,2,-999,9,-999,9,2245.2,2,894,2,15,58,5,2,4.44,2,5.77,2,1.905,2,-999,-999,9,-0.1,2,-0.364
  06AQ19860627,234,7,81,2,19860717,0,-58.483,-0.99,4769,2421,-999,34.659,2,237.8,0,124.68,0,31.98,0,-999,9,2.26,0,-999,9,-999,9,-999,9,-999,9,15,-999,-999,9,-999,9,-999,9,-999,9,-157,2,2,-999,9,-0.401
  06AQ19860627,234,3,14,2,19860717,0,-58.483,-0.99,4769,2499.5,-999,34.658,2,238.3,2,124.68,2,31.89,2,-0.01,2,2.25,2,0.223,2,0.1,2,-999,9,-999,9,15,48,5,2,-999,9,-999,9,-999,9,-999,-999,9,-0.21,2,-0.424
  06AQ19860627,234,3,13,2,19860717,0,-58.483,-0.99,4769,2750.1,-0.309,34.658,2,240.5,2,124.48,2,31.89,2,-0.01,2,2.25,2,0.198,2,0.087,2,2242.8,2,877,2,15,47.5,5,2,-999,9,-999,9,-999,9,-999,-999,9,-0.31,2,-0.465
  06AQ19860627,234,7,82,2,19860717,0,-58.483,-0.99,4769,2935,-999,34.656,2,241.1,0,124.41,0,31.89,0,-999,9,2.25,0,-999,9,-999,9,2241.7,0,875.2,0,15,-999,-999,9,-999,9,-999,9,-999,9,-156,2,2,-999,9,-0.502
  06AQ19860627,234,3,12,2,19860717,0,-58.483,-0.99,4769,3000.1,-999,34.656,2,241.4,2,124.38,2,31.89,2,-0.01,2,2.25,2,0.186,2,0.088,2,2241.3,0,874.5,0,15,51,5,2,-999,9,-999,9,-999,9,-999,-999,9,-0.19,2,-0.509
  06AQ19860627,234,3,11,2,19860717,0,-58.483,-0.99,4769,3250.1,-0.36,34.654,2,244,2,123.69,2,31.79,2,0,2,2.24,2,0.216,2,-999,9,2239.8,2,872,2,15,62,5,2,-999,9,-999,9,-999,9,-999,-999,9,-0.16,2,-0.556
  06AQ19860627,234,7,83,2,19860717,0,-58.483,-0.99,4769,3450,-999,34.652,2,245,0,123.13,0,31.95,0,-999,9,2.24,0,-999,9,-999,9,2240.1,0,868,0,15,-999,-999,9,-999,9,-999,9,-999,9,-158,2,2,-999,9,-0.591
  06AQ19860627,234,3,10,2,19860717,0,-58.483,-0.99,4769,3499.1,-999,34.653,2,245.3,2,123,2,31.99,2,0,2,2.24,2,0.231,2,0.101,2,2240.2,0,867,0,15,62,5,2,-999,9,-999,9,-999,9,-999,-999,9,-0.27,2,-0.599
  06AQ19860627,234,3,9,2,19860717,0,-58.483,-0.99,4769,3700.4,-0.402,34.651,2,246.6,2,122.01,2,31.68,2,0.01,2,2.24,2,0.257,2,0.117,2,2240.5,2,863,2,15,61,5,2,4.4,2,4.8,2,1.937,2,-999,-999,9,-0.27,2,-0.637
  06AQ19860627,234,3,8,2,19860717,0,-58.483,-0.99,4769,3899.7,-999,34.65,2,248.3,2,121.12,2,31.78,2,0.01,2,2.24,2,0.289,2,0.135,2,2239.2,0,861,0,15,66,5,2,-999,9,-999,9,-999,9,-999,-999,9,-0.23,2,-0.673
  06AQ19860627,234,7,84,2,19860717,0,-58.483,-0.99,4769,3967,-999,34.649,2,248.2,0,120.92,0,31.78,0,-999,9,2.24,0,-999,9,-999,9,2238.8,0,860.3,0,15,-999,-999,9,-999,9,-999,9,-999,9,-151,2,2,-999,9,-0.682
  06AQ19860627,234,3,7,2,19860717,0,-58.483,-0.99,4769,4099.8,-0.426,34.649,2,247.9,2,120.53,2,31.78,2,0.01,2,2.24,2,0.304,2,0.136,2,2237.9,2,859,2,15,76,5,2,4.28,2,4.8,2,1.866,2,-999,-999,9,-0.2,2,-0.699
  06AQ19860627,234,3,5,2,19860717,0,-58.483,-0.99,4769,4306.8,-0.427,34.648,2,249.6,2,119.74,2,31.69,2,0,2,2.23,2,0.333,2,0.142,2,2237.4,2,856,2,15,68,5,2,4.31,2,4.87,2,1.869,2,-999,-999,9,-0.3,2,-0.721
  06AQ19860627,234,3,6,2,19860717,0,-58.483,-0.99,4769,4309.4,-999,34.648,2,249.6,2,119.84,2,31.59,2,0,2,2.22,2,0.333,2,0.142,2,2237.4,0,856,0,15,67,5,2,4.76,2,4.84,2,2.006,2,-999,-999,9,-999,9,-0.721
  06AQ19860627,234,7,85,2,19860717,0,-58.483,-0.99,4769,4383,-999,34.649,2,250,0,119.61,0,31.58,0,-999,9,2.23,0,-999,9,-999,9,2237.5,0,856.2,0,15,-999,-999,9,-999,9,-999,9,-999,9,-154,2,2,-999,9,-0.726
  06AQ19860627,234,3,4,2,19860717,0,-58.483,-0.99,4769,4498.6,-999,34.647,2,250.5,0,119.24,2,31.58,2,0.01,2,2.23,2,0.349,2,0.149,2,2237.7,0,856.5,0,15,64,5,2,-999,9,-999,9,-999,9,-999,-999,9,-0.27,2,-0.735
  06AQ19860627,234,7,86,2,19860717,0,-58.483,-0.99,4769,4692,-999,34.648,2,251.3,0,118.77,0,31.67,0,-999,9,2.23,0,-999,9,-999,9,2238.1,0,857,0,15,-999,-999,9,-999,9,-999,9,-999,9,-148,2,2,-999,9,-0.75
  06AQ19860627,234,3,3,2,19860717,0,-58.483,-0.99,4769,4699.4,-0.416,34.647,2,251.3,2,118.75,2,31.68,2,0.01,2,2.23,2,0.366,2,0.163,2,2238.1,2,857,2,15,72,5,2,-999,9,-999,9,-999,9,-999,-999,9,-0.15,2,-0.751
  06AQ19860627,234,3,2,2,19860717,0,-58.483,-0.99,4769,4745,-999,34.647,2,251.1,0,118.75,2,31.69,2,-0.02,2,2.23,2,-999,9,-999,9,2238.7,0,856.2,0,15,75,5,2,-999,9,-999,9,-999,9,-999,-999,9,-0.11,2,-0.76
  06AQ19860627,234,3,1,2,19860717,0,-58.483,-0.99,4769,4759.8,-0.42,34.646,2,251,2,118.65,2,31.73,2,0.06,2,2.22,2,0.372,2,0.162,2,2238.9,2,856,2,15,-999,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-0.13,2,-0.761
  06AQ19860627,234,7,87,2,19860717,0,-58.483,-0.99,4769,4783,-999,34.647,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,15,-999,-999,9,-999,9,-999,9,-999,9,-149,2,2,-999,9,-0.764
  06AQ19860627,238,1,24,2,19860718,0,-59,-1,5223,20.2,-1.527,34.131,2,350.6,2,68.59,2,26.51,2,0.36,2,1.87,2,5.399,2,2.319,2,2175.5,2,702,2,15,185,5,2,4.58,2,-1.06,2,1.995,2,-999,-999,9,-999,9,-1.527
  06AQ19860627,238,1,23,2,19860718,0,-59,-1,5223,30.2,-1.662,34.149,2,348.8,2,67.65,2,26.43,2,0.37,2,1.87,2,5.441,2,2.387,2,2179.7,2,699,2,15,196,5,2,4.29,2,-1.54,2,1.914,2,-999,-999,9,-999,9,-1.663
  06AQ19860627,238,1,22,2,19860718,0,-59,-1,5223,44.7,-999,34.15,2,350.6,2,66.71,2,26.25,2,0.37,2,1.86,2,5.597,2,2.522,2,-999,9,-999,9,15,195,5,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-1.749
  06AQ19860627,238,1,21,2,19860718,0,-59,-1,5223,64.4,-999,34.151,2,350.6,2,66.57,2,26.33,2,0.37,2,1.86,2,5.296,2,2.293,2,-999,9,-999,9,15,211,5,2,-999,9,-1.77,2,-999,9,-999,-999,9,-999,9,-1.745
  06AQ19860627,238,1,20,2,19860718,0,-59,-1,5223,84.5,-999,34.153,2,347.5,2,66.74,2,26.3,2,0.37,2,1.87,2,5.478,2,2.394,2,-999,9,-999,9,15,193,5,2,4.37,2,-1.42,2,1.924,2,-999,-999,9,-999,9,-1.738
  06AQ19860627,238,1,19,2,19860718,0,-59,-1,5223,103.8,-999,34.168,2,343.2,2,67.55,2,26.39,2,0.37,2,1.88,2,5.443,2,2.36,2,-999,9,-999,9,15,197,5,2,4.2,2,-1.87,2,1.897,2,-999,-999,9,-999,9,-1.657
  06AQ19860627,238,1,18,2,19860718,0,-59,-1,5223,124.7,-999,34.241,2,324,2,73.14,2,27.45,2,0.27,2,1.93,2,4.778,2,2.078,2,-999,9,-999,9,15,177,5,2,4.75,2,-0.09,2,2.066,2,-999,-999,9,-999,9,-1.404
  06AQ19860627,238,1,17,2,19860718,0,-59,-1,5223,146.5,-999,34.361,2,295.3,2,82.38,2,28.9,2,0.15,2,2.01,2,3.705,2,1.604,2,-999,9,-999,9,15,148,5,2,4.09,2,1.37,2,1.812,2,-999,-999,9,-999,9,-1.016
  06AQ19860627,238,1,16,2,19860718,0,-59,-1,5223,204.8,-999,34.588,2,229.6,2,102.92,2,31.67,2,-0.01,2,2.19,2,1.432,2,0.633,2,-999,9,-999,9,15,84,5,2,4.29,2,5.23,2,1.938,2,-999,-999,9,-999,9,-0.158
  06AQ19860627,238,1,15,2,19860718,0,-59,-1,5223,304.7,-999,34.656,2,206.2,2,113.13,2,32.08,2,0.03,2,2.25,2,-999,9,-999,9,-999,9,-999,9,15,50,5,2,4.25,2,7.21,2,1.841,2,-999,-999,9,-999,9,0.252
  06AQ19860627,238,1,14,2,19860718,0,-59,-1,5223,405.4,-999,34.673,2,200.1,2,118.26,2,32.7,2,0.01,2,2.26,2,0.278,2,0.138,2,-999,9,-999,9,15,43,5,2,4.63,2,7.17,2,1.966,2,-999,-999,9,-999,9,0.316
  06AQ19860627,238,1,13,2,19860718,0,-59,-1,5223,505.3,-999,34.673,2,199.2,2,121.16,2,32.56,2,0.01,2,2.25,2,0.206,2,0.082,2,-999,9,-999,9,15,-999,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,0.262
  06AQ19860627,238,1,12,2,19860718,0,-59,-1,5223,756.1,-999,34.671,2,206.6,2,122.62,2,32.31,2,0.03,2,2.24,2,0.188,2,0.073,2,-999,9,-999,9,15,-999,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,0.134
  06AQ19860627,238,1,11,2,19860718,0,-59,-1,5223,1003.9,-999,34.671,2,213.1,2,124.25,2,32.07,2,0.03,2,2.23,2,0.155,2,0.07,2,-999,9,-999,9,15,-999,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,0.014
  06AQ19860627,238,1,10,2,19860718,0,-59,-1,5223,1504.9,-999,34.665,2,221.4,2,124.44,2,31.72,2,0.09,2,2.19,2,0.163,2,0.067,2,-999,9,-999,9,15,-999,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-0.163
  06AQ19860627,238,1,9,2,19860718,0,-59,-1,5223,2006.6,-999,34.66,2,232.7,2,124,2,31.4,2,0.03,2,2.19,2,0.206,2,0.088,2,-999,9,-999,9,15,-999,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-0.315
  06AQ19860627,238,1,8,2,19860718,0,-59,-1,5223,2506.7,-999,34.656,2,236.6,2,123.72,2,31.76,2,0,2,2.21,2,0.176,2,0.08,2,-999,9,-999,9,15,-999,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-0.425
  06AQ19860627,238,1,7,2,19860718,0,-59,-1,5223,3006,-999,34.655,2,240.5,2,122.79,2,31.23,2,0.06,2,2.16,2,0.155,2,0.066,2,-999,9,-999,9,15,-999,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-0.523
  06AQ19860627,238,1,6,2,19860718,0,-59,-1,5223,3509.1,-999,34.651,2,244.4,2,121.07,2,31.21,2,0.03,2,2.16,2,0.191,2,0.087,2,-999,9,-999,9,15,-999,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-0.642
  06AQ19860627,238,1,5,2,19860718,0,-59,-1,5223,4005.8,-999,34.644,2,250.1,2,117.11,2,30.93,2,0.02,2,2.15,2,0.383,2,0.168,2,-999,9,-999,9,15,-999,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-0.769
  06AQ19860627,238,1,4,2,19860718,0,-59,-1,5223,4506.2,-999,34.643,2,254.4,2,115.7,2,31.02,2,0.01,2,2.15,2,0.47,2,0.202,2,-999,9,-999,9,15,81,5.5,2,4.26,2,3.85,2,1.862,2,-999,-999,9,-999,9,-0.819
  06AQ19860627,238,1,3,2,19860718,0,-59,-1,5223,5008.5,-999,34.642,2,253.5,2,114.46,2,30.93,2,0.02,2,2.15,2,0.501,2,0.218,2,-999,9,-999,9,15,85,5,2,4.154,2,3.83,2,1.798,2,-999,-999,9,-999,9,-0.85
  06AQ19860627,238,1,2,2,19860718,0,-59,-1,5223,5200.4,-999,34.642,2,253.5,2,113.53,2,31.23,2,-0.01,2,-999,9,0.513,2,0.224,2,-999,9,-999,9,15,83.25,5,2,3.336,2,3.84,2,1.885,2,-999,-999,9,-999,9,-0.855
  06AQ19860627,238,1,1,2,19860718,0,-59,-1,5223,5213.2,-999,34.642,2,251.8,2,113.56,2,30.92,2,0.08,2,-999,9,0.506,2,0.216,2,-999,9,-999,9,15,88,5,2,4.512,2,3.94,2,1.867,2,-999,-999,9,-999,9,-0.856
  06AQ19860627,241,1,24,2,19860718,0,-59.505,-1.012,5286,19.6,-1.85,34.159,2,350.6,2,66.3,2,26.73,2,0.41,2,1.9,2,5.528,2,2.384,2,2181.7,2,716,2,15,-999,-999,9,4.3,2,-1.58,2,1.931,2,-999,-999,9,-999,9,-1.85
  06AQ19860627,241,1,23,2,19860718,0,-59.505,-1.012,5286,30.2,-1.849,34.159,2,350.6,2,66.16,2,26.6,2,0.4,2,1.9,2,-999,9,-999,9,2182.5,2,722,2,15,-999,-999,9,4.2,2,-1.71,2,1.912,2,-999,-999,9,-999,9,-1.85
  06AQ19860627,241,1,22,2,19860718,0,-59.505,-1.012,5286,46.1,-999,34.161,2,349.7,2,66.33,2,26.82,0,0.41,2,1.9,2,5.601,2,2.407,2,2183.5,0,727.5,0,15,-999,-999,9,4.34,2,-1.58,2,2.02,2,-999,-999,9,-999,9,-1.826
  06AQ19860627,241,1,21,2,19860718,0,-59.505,-1.012,5286,65.2,-1.722,34.182,2,342.8,2,67.29,2,27.08,0,0.4,2,1.93,2,5.164,2,2.236,2,2184.6,2,734,2,15,-999,-999,9,4.11,2,-1.17,2,1.865,2,-999,-999,9,-999,9,-1.723
  06AQ19860627,241,1,20,2,19860718,0,-59.505,-1.012,5286,84.7,-1.679,34.19,2,341.4,2,67.3,2,27.35,2,0.4,2,1.93,2,5.132,2,2.257,2,2186.8,2,735,2,15,-999,-999,9,4.68,2,-1.13,2,2.015,2,-999,-999,9,-999,9,-1.681
