BOTTLE,20030319WHPSIOSA
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: March 19, 2003
#original HYD file: a08hy.txt   Wed Mar 19 10:27:03 2003
#original SUM file: a08su.txt   Fri Feb 12 12:52:56 1999
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,NEON,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,CTDRAW,HELIER,DELHER,NEONER,NEONER_FLAG_W,THETA,TRITER
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,NMOL/KG,UMOL/KG,,PPM@EQ,,,NMOL/KG,PERCNT,NMOL/KG,,ITS-90,TU
      06MT28_1,   A08,   166,  1,     70,    216,2,19940330,1320, -8.3315, -32.4973, 4560,   1004.6,   4.0096,  34.5357,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   1005,-999.0000,-999.000,-999.000,9,  3.9335,-999.000
      06MT28_1,   A08,   166,  1,     71,    217,2,19940330,1320, -8.3315, -32.4973, 4560,   1004.6,   4.0096,  34.5357,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   1005,-999.0000,-999.000,-999.000,9,  3.9335,-999.000
      06MT28_1,   A08,   166,  1,     72,    218,2,19940330,1320, -8.3315, -32.4973, 4560,   1004.6,   4.0096,  34.5357,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   1005,-999.0000,-999.000,-999.000,9,  3.9335,-999.000
      06MT28_1,   A08,   166,  1,     38,    219,2,19940330,1320, -8.3315, -32.4973, 4560,   1004.6,   4.0096,  34.5357,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   1005,-999.0000,-999.000,-999.000,9,  3.9335,-999.000
      06MT28_1,   A08,   166,  1,     76,    220,2,19940330,1320, -8.3315, -32.4973, 4560,   1004.6,   4.0096,  34.5357,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   1005,-999.0000,-999.000,-999.000,9,  3.9335,-999.000
      06MT28_1,   A08,   166,  2,     63,    324,2,19940330,1523, -8.3333, -32.4978, 4560,     10.2,  28.4448,  36.6917,2,  36.6917,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,      9,-999.0000,-999.000,-999.000,9, 28.4423,-999.000
      06MT28_1,   A08,   166,  2,     77,    301,2,19940330,1523, -8.3333, -32.4978, 4560,   4003.4,   1.9373,  34.8484,2,  34.8482,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   4000,-999.0000,-999.000,-999.000,9,  1.6047,-999.000
      06MT28_1,   A08,   166,  2,     78,    302,2,19940330,1523, -8.3333, -32.4978, 4560,   4003.4,   1.9373,  34.8484,2,  34.8484,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   4000,-999.0000,-999.000,-999.000,9,  1.6047,-999.000
      06MT28_1,   A08,   166,  2,     79,    303,2,19940330,1523, -8.3333, -32.4978, 4560,   4003.4,   1.9373,  34.8484,2,  34.8499,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   4000,-999.0000,-999.000,-999.000,9,  1.6047,-999.000
      06MT28_1,   A08,   166,  2,     80,    304,2,19940330,1523, -8.3333, -32.4978, 4560,   4003.4,   1.9373,  34.8484,2,  34.8470,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   4000,-999.0000,-999.000,-999.000,9,  1.6047,-999.000
      06MT28_1,   A08,   166,  2,     81,    305,2,19940330,1523, -8.3333, -32.4978, 4560,   4003.4,   1.9373,  34.8484,2,  34.8498,2,   -999.0,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,   -999.0,9,   -999.0,9,   4000,-999.0000,-999.000,-999.000,9,  1.6047,-999.000
